{247: [2, 42.745]}
{248: [1, 11.125]}
{249: [1, 15.59]}
{250: [6, 144.381]}
{251: [1, 35.288]}
{252: [1, 29.404]}
{253: [1, 10.033]}
{254: [2, 26.422]}
{255: [1, 11.752]}
{256: [1, 9.125]}
{257: [1, 44.686]}
{258: [2, 27.501]}
{259: [1, 16.49]}
{260: [1, 35.317]}
{261: [1, 24.157]}
{262: [1, 10.924]}
{263: [1, 18.33]}
{264: [2, 26.651]}
{265: [3, 53.545]}
{266: [1, 17.588]}
{267: [1, 45.035]}
{268: [1, 28.735]}
{269: [6, 141.89]}
{270: [1, 33.619]}
{271: [6, 180.897]}
{272: [6, 240.71]}
{273: [3, 126.041]}
{274: [6, 205.822]}
{275: [2, 86.781]}
{276: [2, 73.746]}
{277: [1, 22.141]}
{278: [1, 13.028]}
{279: [1, 20.642]}
{280: [1, 13.712]}
{281: [1, 14.41]}
{282: [6, 130.52]}
{283: [1, 10.717]}
{284: [1, 20.002]}
{285: [1, 9.041]}
{286: [1, 19.498]}
{287: [1, 12.499]}
{288: [1, 15.46]}
{289: [1, 23.443]}
{290: [1, 17.492]}
{291: [1, 33.561]}
{292: [3, 120.874]}
{293: [1, 12.295]}
{294: [1, 33.003]}
{295: [1, 31.616]}
{296: [1, 16.897]}
{297: [1, 28.589]}
{298: [1, 39.583]}
{299: [1, 19.932]}
{300: [3, 75.915]}
{301: [1, 12.148]}
{302: [1, 67.891]}
{303: [1, 13.8]}
{304: [1, 16.227]}
{305: [1, 16.142]}
{306: [1, 12.84]}
{307: [1, 8.964]}
{308: [1, 13.243]}
{309: [1, 16.674]}
{310: [1, 9.055]}
{311: [1, 9.226]}
{312: [1, 26.612]}
{313: [1, 12.112]}
{314: [1, 12.304]}
{315: [6, 107.936]}
{316: [1, 25.035]}
{317: [1, 43.382]}
{318: [1, 15.843]}
{319: [1, 41.226]}
{320: [1, 15.512]}
{321: [2, 95.906]}
{322: [1, 25.694]}
{323: [1, 64.327]}
{324: [1, 22.015]}
{325: [1, 43.513]}
{326: [6, 112.848]}
{327: [1, 20.772]}
{328: [1, 13.969]}
{329: [1, 38.763]}
{330: [1, 22.224]}
{331: [1, 28.17]}
{332: [1, 64.642]}
{333: [1, 15.349]}
{334: [1, 21.772]}
{335: [1, 25.537]}
{336: [1, 30.006]}
{337: [1, 55.876]}
{338: [1, 24.398]}
{339: [1, 9.745]}
{340: [1, 12.241]}
{341: [1, 20.798]}
{342: [1, 23.213]}
{343: [1, 29.714]}
{344: [1, 25.125]}
{345: [1, 56.57]}
{346: [6, 136.729]}
{347: [2, 65.063]}
{348: [6, 81.831]}
{349: [6, 145.319]}
{350: [6, 202.16]}
{351: [1, 26.479]}
{352: [1, 25.212]}
{353: [1, 43.33]}
{354: [1, 11.828]}
{355: [1, 10.75]}
{356: [1, 13.165]}
{357: [1, 11.369]}
{358: [1, 11.101]}
{359: [1, 8.792]}
{360: [2, 26.963]}
{361: [6, 100.586]}
{362: [1, 18.348]}
{363: [1, 11.327]}
{364: [1, 14.368]}
{365: [1, 21.602]}
{366: [1, 31.135]}
{367: [1, 21.436]}
{368: [1, 22.76]}
{369: [1, 31.51]}
{370: [1, 10.622]}
{371: [1, 27.591]}
{372: [1, 58.344]}
{373: [2, 74.041]}
{374: [1, 16.791]}
{375: [1, 46.851]}
{376: [1, 14.231]}
{377: [1, 20.078]}
{378: [1, 25.493]}
{379: [1, 14.116]}
{380: [1, 13.43]}
{381: [1, 20.95]}
{382: [1, 14.317]}
{383: [1, 13.347]}
{384: [1, 17.843]}
{385: [1, 11.325]}
{386: [1, 12.085]}
{387: [1, 15.798]}
{388: [1, 10.655]}
{389: [3, 81.262]}
{390: [1, 18.383]}
{391: [1, 21.558]}
{392: [1, 29.909]}
{393: [1, 15.103]}
{394: [1, 64.367]}
{395: [6, 179.284]}
{396: [1, 10.839]}
{397: [1, 23.994]}
{398: [2, 45.464]}
{399: [6, 124.192]}
{400: [1, 55.442]}
